conglome,vivienda,hogar,codperso,ocupinf_t1,ocupinf_t2,sexo,edad,estadocivil,tuvotrabajo,categoria_trabajador,trabajopara,registrosunat,cuentassunat,tipocontrato,numpersonastrabajo,tuvootrotrabajo,normtrabaja,horas_normtrabaja,disponiblehorastrabajar,deseaotrotrabajo,antepasadosconsidera,perteneceindig,lenguamaterna,niveleduc,asiste_educ,usointernet,viviadistrito,padece_enfer,sintoma_malestar,enfermedad,recaida,accidente,notuvoenf,essalud,seguroprivado,eps,seguroffaa,sis,tipovivienda,materialparedes,materialpisos,materialtechos,habitaciones,habitacionesdormir,vivienda_status,viviendatitulo,agua_procedencia,agua_potable,conexionsshh,electricidad,celular,internet,personas_ingresos,personas_hogar,pobreza,periodo,status_inf,tiempotrabajo,alquiler,horastotales_sempasada,ingtrabw
000214,059,11,01,2,2,1,63,1,1,3,2,99,99,1,5,1,1,48,2,2,6,2,4,6,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,3,5,4,4,2,2,1,1,2,1,1,1,0,2,3,3,2014-2015,0,32,80,48,18559
000219,082,11,01,2,2,1,52,2,1,3,2,99,99,1,5,2,1,54,1,2,1,1,1,9,2,1,1,1,1,0,1,0,0,1,2,2,2,2,1,3,6,3,9,6,2,2,1,2,4,1,1,0,3,3,3,2014-2015,0,26,50,54,16348
000219,083,11,01,2,2,1,43,2,1,3,2,99,99,1,5,2,1,56,1,,6,1,1,8,2,1,1,1,0,0,1,0,0,1,2,2,2,2,1,3,6,3,5,3,2,2,1,2,4,2,1,0,2,4,3,2014-2015,0,23,25,56,18439
000234,004,11,01,2,2,1,42,2,1,3,6,1,1,1,5,2,1,48,1,2,1,1,1,5,2,1,1,1,1,0,1,0,0,1,2,2,2,2,1,1,5,1,13,4,2,2,1,2,1,1,1,0,4,6,3,2014-2015,0,5,200,48,22240
000246,026,11,03,2,1,1,23,6,1,4,6,1,1,2,4,2,1,48,2,2,1,1,1,4,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,4,6,4,3,0,2,2,6,99,7,,1,0,4,5,3,2014-2015,1,2,40,48,26172
000251,010,11,01,2,1,1,35,1,2,4,6,1,1,2,5,2,2,28,2,2,1,2,4,4,2,2,1,2,1,0,0,0,0,1,2,2,2,2,1,3,5,4,5,3,6,99,1,2,3,1,1,0,2,4,3,2014-2015,1,4,150,0,24832
000259,061,11,01,2,2,1,62,6,2,3,2,99,99,1,5,2,2,40,2,2,6,2,4,9,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,3,5,3,2,1,2,2,1,1,1,1,1,0,1,1,3,2014-2015,0,10,150,0,16286
000259,074,11,02,2,2,2,44,1,2,4,2,99,99,2,5,2,2,48,2,2,1,2,4,6,2,2,1,1,0,0,0,0,1,1,2,2,2,2,4,3,6,4,1,0,1,99,2,1,2,2,1,0,2,3,3,2014-2015,0,1.4166666,50,0,9772
000260,016,11,03,2,2,2,36,6,1,3,3,99,99,2,5,2,1,40,2,2,6,2,4,10,2,1,2,2,1,0,0,1,0,1,2,2,2,2,1,1,5,1,5,3,2,1,1,1,1,2,1,1,5,5,3,2014-2015,0,.16666667,500,40,22020
000260,016,11,04,2,2,2,34,6,1,3,2,99,99,2,5,2,1,40,2,2,6,2,4,10,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,5,3,2,1,1,1,1,2,1,1,5,5,3,2014-2015,0,3.0833333,500,40,37227
000260,028,11,01,2,2,1,48,2,1,1,99,1,1,99,1,2,1,60,2,2,1,2,1,8,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,3,1,4,3,2,1,1,1,1,1,1,1,2,6,3,2014-2015,0,15,0,60,17695
000260,028,11,02,2,1,2,42,2,2,3,2,99,99,1,5,1,2,12,2,2,1,2,4,10,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,3,1,4,3,2,1,1,1,1,1,1,1,2,6,3,2014-2015,1,20,0,60,22997
000261,026,11,01,2,1,1,60,1,1,3,2,99,99,5,5,2,1,60,2,2,1,2,4,10,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,3,3,4,5,3,2,1,1,1,1,1,1,1,2,3,3,2014-2015,1,3,500,60,30015
000261,026,11,02,2,2,2,54,1,1,1,99,2,1,99,1,2,1,60,2,2,6,2,4,8,2,2,1,2,1,0,0,0,0,1,2,2,2,2,1,3,3,4,5,3,2,1,1,1,1,1,1,1,2,3,3,2014-2015,0,18,500,60,51206
000261,043,11,01,2,2,1,48,1,1,3,1,99,99,1,99,1,1,68,2,2,6,2,4,10,2,1,1,1,1,1,0,0,0,2,2,2,1,2,1,3,5,4,6,4,2,1,1,1,1,1,1,1,2,5,3,2014-2015,0,29,500,68,59524
000261,043,11,02,2,2,2,42,1,1,3,6,2,1,2,1,2,1,54,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,5,4,6,4,2,1,1,1,1,1,1,1,2,5,3,2014-2015,0,1.0833334,500,54,16115
000261,076,11,01,2,2,2,33,6,1,3,6,1,2,2,2,2,1,40,2,2,1,2,4,10,2,1,1,2,1,0,0,0,0,1,2,2,2,2,4,3,6,2,1,0,1,99,2,1,2,2,1,0,1,1,3,2014-2015,0,1,100,40,12628
000267,001,11,01,2,1,1,36,1,1,2,99,1,2,99,1,2,1,66,2,2,1,2,4,6,2,2,1,2,1,0,0,0,0,2,2,2,2,1,1,3,6,3,2,2,6,99,1,1,1,2,1,0,1,5,3,2014-2015,1,20.833334,300,66,8490
000267,014,11,01,2,1,1,58,2,1,1,99,2,2,99,1,2,1,48,2,2,1,2,1,6,2,2,1,2,1,1,0,0,0,2,2,2,2,1,1,3,5,4,6,5,2,1,1,1,1,1,1,1,5,8,3,2014-2015,1,15,500,48,35072
000267,026,11,02,2,1,2,31,1,1,2,99,2,2,99,1,2,1,56,2,2,6,2,4,9,2,1,1,2,1,1,0,0,0,2,2,2,2,1,1,3,5,2,1,1,6,99,1,1,1,2,1,0,2,3,3,2014-2015,1,1,50,56,3334
000280,124,11,01,2,2,1,44,2,1,3,2,99,99,1,5,1,2,10,2,2,1,2,1,6,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,1,2,1,8,5,2,1,1,2,1,1,1,0,2,6,3,2014-2015,0,17,0,41,16096
000280,124,11,02,2,2,2,44,2,1,2,99,2,2,99,1,1,1,73,2,2,1,2,1,8,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,1,2,1,8,5,2,1,1,2,1,1,1,0,2,6,3,2014-2015,0,8,0,73,16472
000296,100,11,01,2,1,1,51,2,1,4,6,1,1,2,5,1,1,62,2,2,8,3,1,4,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,3,6,4,5,2,2,2,1,2,5,1,1,0,2,8,2,2014-2015,1,1,15,62,16810
000298,005,11,01,2,2,1,53,2,1,3,2,99,99,1,5,1,1,46,2,2,1,1,1,11,2,2,1,1,1,1,0,0,0,1,2,2,2,2,1,3,6,4,6,2,2,2,1,2,1,1,1,0,4,6,3,2014-2015,0,28,120,46,21942
000355,015,11,02,2,1,2,23,2,1,1,99,2,2,99,1,2,1,98,2,2,1,2,4,9,2,1,2,1,1,0,0,0,0,1,2,2,2,2,1,2,3,1,2,1,1,99,1,1,1,2,1,1,2,4,3,2014-2015,1,5,100,98,14585.667
